abrams,Abr1996
aguiar,Agu2000
atiyah,Ati1988
ayala-francis2020,AF2020
ayala-francis2017,AF
baez-dolan-tqft,BD1995
baez-dolan-finite-sets,BD2001
baez-counting,Bae0
bakalov-kirillov,BK2001
balsam-kirillov,BK2010
balsam-TV2,Bal2010a
balsam-TV3,Bal2010b
barrett,BW1996
bdspv,BDSPV2015
benzvi-brochier-jordan,BZBJ2018
benzvi-francis-nadler,BZFN2010
benzvi-nadler-traces,BZN2013
boardman-vogt,BV1973
bsp,BSP2021
calaque,CS2019
caramello,Car2019
carqueville,Car2016
carqueville-runkel,CR2018
cdr,CDZR2025
cerf,Cer1970
crane-yetter,CKY1997
davidovich,Dav2011
dkr,DKR2011
dijkgraaf-thesis,Dij1989
DW,DW1990
dsps-dualizable,DSPS2020
dsps-balanced,DSPS2019
eno,ENO2005
etingof-fusion,EGNO2015
freed-cobordism,Fre2013
freed-bordism,Fre2012
freed-higher-algebraic,Fre1994
freed-quinn,FQ1993
fhk,FHK1994
frobenius-characters,Fro1896
fuchs-schaumann-schweigert-trace,FSS2017
gay-wehrheim-woodward,GWW2012
goerss-jardine,GJ1999
gordon-power-street,GPS1995
greenough,Gre2013
grothendieck,Gro1983
hatcher-wagoner,HW1973
hesse,Hes2017
hirsch-mazur,HM1974
igusa,Igu1987
jfs,JFS2017
joyal-street,JS1991
joyal-street2,JS1995
kauffman,Kau1987
PLCW,Kir2012
kirillov-stringnet,Kir2011
kock,Koc2004
lack-paoli,LP2008
lauda-pfeiffer,LP2007
leinster,Lei2004
levin-wen,LW2005
lickorish,Lic1999
loday,Lod2004
lurie-cobordism,Lur2009a
lurie-HTT,Lur2009b
lurie-HA,Lur2017
lurie-PL,Lur2009
mac-lane,ML1998
matsumoto,Mat2002
may,May1992
may-loops,May1972
milnor-morse-theory,Mil1963
milnor-h-cobordism,Mil1965
milnor-review,Mil2011
moore-segal,MS
nikolaus-sagave,NS2017
oeckl,Oec2005
pachner,Pac1987
paoli,Pao2019
pierce,Pie1982
power-pasting,Pow1990
pstragowski,Pst2022
reshetikhin-turaev,RT1991
riehl-notices,Rie2023
riehl-verity,RV2022
rourke,RS1982
schommer-pries,SP2009
schommer-pries-category,SP2014
shulman,Shu2010
simpson,Sim2012
tamsamani,Tam1999
teleman-five-lectures,Tel2016
toen,Toë2004
turaev-virelizier,TV2017
turaev-viro,TV1992
witten-jones,Wit1989
